Output:
Token                 Lexeme                 Production Rules
---------             --------               --------------------
Keyword               function               Rat24F, OptFunctionsDefinitions, FunctionsDefinitions, Function
Identifier            convert                
Separator             (                      
Identifier            fahr                   OptParamaterList, ParamaterList, Paramater, IDs
Keyword               integer                IDs_prime, IDs
Separator             )                      IDs_prime, IDs, Qualifier, ParamaterListPrime, Empty
Separator             {                      OptDeclarationList, Empty, Body
Keyword               return                 StatementList, Statement, Return
Integer               5                      Return_prime, Expression, Term, Factor, Primary
Operator              *                      TermPrime
Separator             (                      Factor, Primary
Identifier            fahr                   Expression, Term, Factor, Primary
Operator              -                      TermPrime, ExpressionPrime
Integer               32                     Term, Factor, Primary
Separator             )                      TermPrime, ExpressionPrime, Term, Factor, Primary, TermPrime
Operator              /                      TermPrime
Integer               9                      Factor, Primary
Separator             ;                      TermPrime, ExpressionPrime, Term, Factor, Primary, TermPrime
Separator             }                      StatementList_prime
Separator             @                      FunctionsDefintions_prime, Empty
Keyword               integer                OptDeclarationList, DeclarationList, Declaration, Qualifier, IDs
Identifier            low                    IDs_prime, IDs
Separator             ,                      IDs_prime
Identifier            high                   IDs
Separator             ,                      IDs_prime
Identifier            step                   IDs
Separator             ;                      IDs_prime, IDs
Keyword               while                  DeclarationList_prime, Empty, StatementList, Statement, While
Separator             (                      
Identifier            fahr                   Condition, Expression, Term, Factor, Primary
Operator              <=                     TermPrime, ExpressionPrime, Term, Factor, Primary, TermPrime, Relop
Identifier            upper                  Expression, Term, Factor, Primary
Separator             )                      TermPrime, ExpressionPrime, Term, Factor, Primary, TermPrime
Identifier            a                      Statement, Assign
Operator              =                      
Real                  23.00                  Expression, Term, Factor, Primary
Separator             ;                      TermPrime, ExpressionPrime, Term, Factor, Primary, TermPrime
Separator             @                      StatementList_prime
